HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
,ZǍO,temprano,ADJ,mañana,NOM,15,1
,YÍNHÁNG,banco,NOM,,,15,2
,SHǍO,poco,ADJ,,,15,3
,PÁIDUÌ,hacer cola,V+O,,,15,4
,PÁI,ordenar,VER,fila,NOM,15,5
,DUÌ,fila de personas,NOM,,,15,6
,HUÀN,cambiar,VER,cambio,NOM,15,7
,YĪNGBÀNG,libras esterlinas,NOM,,,15,8
,RÉNMÍNBÌ,RMB,NOM,,,15,9
,RÉNMÍN,pueblo,NOM,,,15,10
,DĚI,"tener que, deber de, necesidad",VAUX,,,15,11
,YÒNG,utilizar,VER,,,15,12
,GĀNG,recién,ADV,,,15,13
,CÓNG,desde,PRE,,,15,14
,DÀO,hasta,PRE,,,15,15
,FĒICHÁNG,extremadamente,ADV,,,15,16
,CÌ,clasificador de acciones,CLA,,,15,17
,CĀNGUĀN,visitar,VER,,,15,18
,BĪNGMǍYǑNG,guerreros de terracota,NOM,,,15,19
,BĪNG,"soldado, luchador",NOM,,,15,20
,MÍNGXÌNPIÀN,postal,NOM,,,15,21
,XÌN,carta,NOM,,,15,22
,GĀI,tocarle hacer una cosa,VER,,,15,23
,GŌNGZUÒRÉNYUÁN,empleado,NOM,,,15,24
,RÉNYUÁN,personal,NOM,,,15,25
,QIĀN,mil,NUM,,,15,26
,SHǓ,contar,VER,,,15,27
,WÁNGFǓJǏNG,zona comercial de Beijing,NP,,,15,28
,XĪĀN,capital de la provincia de Shaanxi,NP,,,15,29
,HǍOJIǓBÚJIÀN,¡cuánto tiempo sin verte!,FH,,,15,30
,HǍOJIǓ,hace mucho tiempo,ADV,,,15,31
,JIÀN,ver,VER,,,15,32
,FĀZHǍN,desarrollar,VER,,,15,33
,KUÀI,rápido,ADJ,,,15,34
,HUÀ,"dialecto, idioma",NOM,,,15,35
,PǓTŌNGHUÀ,lengua común (mandarín),NOM,,,15,36
,NIÁNQĪNG,joven,ADJ,,,15,37
,QĪNG,"ligero, pequeño",ADJ,,,15,38
,LIÚLÌ,fluido,ADJ,,,15,39
,DǑNG,entender,VER,,,15,40
,JIÙ,"con exactitud, exactamente / ahora mismo",ADV,,,15,41
,BǍ,(indicar que la acción tiene efecto sobre el objeto),PRE,,,16,1
,WÀNG,olvidar,VER,,,16,2
,TÚSHŪGUǍN,biblioteca,NOM,,,16,3
,TÚSHŪ,libros,NOM,,,16,4
,GUǍN,tienda / un lugar para actividades culturales,NOM,,,16,5
,BÀNGŌNGSHÌ,oficina,NOM,,,16,6
,BÀNGŌNG,trabajar (en una oficina),VER,,,16,7
,SHÌ,habitación,NOM,,,16,8
,SHÀNG,arriba / subir / última / anterior,OTR,,,16,9
,XIÀ,abajo / bajar / próximo,OTR,,,16,10
,XIĀN,primero / antes,ADV,,,16,11
,JIÈZHŪZHÈNG,carné de biblioteca,NOM,,,16,12
,JIÈ,tomar prestado / prestar,VER,,,16,13
,ZHÈNG,certificado / tarjeta,NOM,,,16,14
,YÍHUÌR,un rato,OTR,,,16,15
,DÀI,traer / llevar,VER,,,16,16
,TIÁN,rellenar,VER,,,16,17
,BIǍO,formulario / tabla / lista,NOM,,,16,18
,NÁ,agarrar,VER,,,16,19
,MÀN,"lento, lentamente",ADJ,,,16,20
,BÙXÍNG,no estar permitido algo,VER,,,16,21
,SHĒNGHUÓ,vivir,VER,vida,NOM,16,22
,ZÌJǏ,"uno mismo, propio",PRO,,,16,23
,XÌNGMÍNG,nombre,NOM,,,16,24
,XÌNGBIÉ,sexo,NOM,,,16,25
,ZHÍYÈ,profesión,NOM,,,16,26
,JIĀO,"entregar / pagar (el alquiler, etc.)",VER,,,16,27
,CHÁNG,largo,ADJ,,,16,28
,JIǓ,largo (tiempo),ADJ,,,16,29
,KǍOSHÌ,hacer un examen,VER,examen,NOM,16,30
,KǍO,hacer un examen,VER,examen,NOM,16,31
,BÚCUÒ,no estar mal,ADJ,,,16,32
,FĀNYÌ,traducir / interpretar,VER,traductor / intérprete,NOM,16,33
,XĪN,nuevo,ADJ,,,16,34
,KÈBĚN,libro de texto,NOM,,,16,35
,CHŪ,salir,VER,fuera,ADV,16,36
,HUÁN,devolver,VER,,,16,37
,GUÒQĪ,haber vencido (un plazo),V+O,,,16,38
,GUÒ,aprobar (un examen),VER,,,16,39
,QĪ,período de tiempo,NOM,,,16,40
,FÁKUǍN,poner una multa,V+O,multa,NOM,16,41
,FÁ,"sancionar, penalizar",VER,,,16,42
,KUǍN,suma (de dinero),NOM,,,16,43
,DIÀNNǍO,computadora,NOM,,,16,44
,DIÀN,electricidad,NOM,,,16,45
,NǍO,cerebro,NOM,,,16,46
,CHÁ,"comprobar, buscar",VER,,,16,47
,SHÍYÒNG,práctico,ADJ,,,16,48
,QÍPÁO,vestido en estilo chino,NOM,,,17,1
,BǏ,que (indica comparación),PRE,,,17,2
,MÀI,vender,VER,,,17,3
,MǍI,comprar,VER,,,17,4
,ZHŌNGSHÌ,estilo chino,ADJ,,,17,5
,SHÌ,"tipo, estilo",NOM,,,17,6
,YǏJĪNG,ya,ADV,,,17,7
,SHĀNGDIÀN,tienda,NOM,,,17,8
,SHĀNG,"comercio, negocios",NOM,,,17,9
,DIÀN,tienda,NOM,,,17,10
,JÍLE,extremadamente,ADV,,,17,11
,YÍDÌNG,"deber, seguramente",ADV,,,17,12
,CHÀ,"que no es estándar, pobre, malo",ADJ,,,17,13
,KĀISHǏ,empezar,VER,,,17,14
,TÀIJÍQUÁN,taichi,NOM,,,17,15
,TÀO,"juego, conjunto",CLA,,,17,16
,SHUÀI,guapo (chico),ADJ,,,17,17
,YÁNSÈ,color,NOM,,,17,18
,HĒI,negro,ADJ,,,17,19
,HÓNG,rojo,ADJ,,,17,20
,BÁI,blanco,ADJ,,,17,21
,PIÁNYI,barato,ADJ,,,17,22
,GŌNGYUÁN,parque,NOM,,,17,23
,ZǑU,"caminar, ir, andar",VER,,,17,24
,XIǍOSHÍ,hora,NOM,,,17,25
,GUÒQÙ,pasar (el tiempo),VER,,,17,26
,CHÈNSHĀN,camisa,NOM,,,17,27
,LǛ,verde,ADJ,,,17,28
,YÀNGZI,"forma, ejemplo, modelo, patrón",NOM,,,17,29
,SHÒUHUÒYUÁN,"dependiente, vendedor",NOM,,,17,30
,SHÒU,vender,VER,,,17,31
,HUÒ,bienes,NOM,,,17,32
,SHÌ,"probarse, intentar",VER,,,17,33
,JUÉDE,"sentir, pensar",VER,,,17,34
,HÉSHÌ,"adecuado, apropiado, correcto",ADJ,,,17,35
,DUǍN,corto,ADJ,,,17,36
,CHÁNG,largo,ADJ,,,17,37
,GĀO,"elevado, alto",ADJ,,,17,38
,GŌNGFĒN,centímetro,NOM,,,17,39
,MÁFAN,"molestar, preocupar (a alguien)",VER,,,17,40
,SĪCHÓU,seda,NOM,,,17,41
,XĪFÚ,traje / ropa occidental,NOM,,,17,42
,JÌ,recordar,VER,,,18,1
,CUÒ,incorrecto,ADJ,,,18,2
,BĀOGUǑ,"paquete, parcela",NOM,,,18,3
,BĀO,envolver,VER,bolsa,NOM,18,4
,XIĒ,alguno(s),CLA,,,18,5
,YĪNGWÉN,inglés (idioma),NOM,,,18,6
,CÍDIǍN,diccionario,NOM,,,18,7
,JIÙ,"viejo, pasado, usado",ADJ,,,18,8
,XĪN,nuevo,ADJ,,,18,9
,WǍNG,hacia,PRE,,,18,10
,HÁNGKŌNG,aviación,NOM,,,18,11
,KŌNG,"cielo, aire",NOM,,,18,12
,HǍIYÙN,transporte marítimo,NOM,,,18,13
,HǍI,"océano, mar, gran lago",NOM,,,18,14
,YÓUFÈI,"franqueo, gastos de envío",NOM,,,18,15
,FÈI,"gasto, costo",NOM,,,18,16
,QǓ,"recoger, agarrar, tomar",VER,,,18,17
,TŌNGZHĪDĀN,carta de aviso,VER,,,18,18
,TŌNGZHĪ,"comunicar, notificar, informar",VER,notificación,NOM,18,19
,DĀN,hoja de papel,NOM,,,18,20
,HǍIGUĀN,aduana,NOM,,,18,21
,BIÉ,no,ADV,,,18,22
,HÙZHÀO,pasaporte,NOM,,,18,23
,KÈQI,"cortés, atengo",ADJ,,,18,24
