HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
全身,QUÁNSHĒN,todo (el cuerpo),NOM,,,12
全,QUÁN,"completo, todo",ADJ,,,12
身,SHĒN,cuerpo,NOM,,,12
舒服,SHŪFU,"cómodo, bien",ADJ,,,12
每,MĚI,cada,PRO,,,12
锻炼,DUÀNLIÀN,hacer ejercicio físico,VER,,,12
头,TÓU,cabeza,NOM,,,12
疼,TÉNG,doloroso,ADJ,,,12
嗓子,SǍNGZI,garganta,NOM,,,12
想,XIǍNG,"querer hacer, tener ganas de hacer, creer",VAUX,,,12
医院,YĪYUÀN,hospital,NOM,,,12
看病,KÀNBÌNG,ir al médico,VMO,,,12
病,BÌNG,enfermedad,NOM,ponerse enfermo,VER,12
身体,SHĒNTǏ,"cuerpo, salud",NOM,,,12
要,YÀO,"deber, querer hacer algo",VAUX,,,12
吧,BA,(partícula modal),PM,,,12
还是,HÁISHI,o,CON,,,12
一起,YÌQǏ,juntos,ADV,,,12
冷,LĚNG,frío,ADJ,,,12
穿,CHUĀN,llevar puesto,VER,,,12
衣服,YĪFU,ropa,NOM,,,12
休息,XIŪXI,descansar,VER,descanso,NOM,12
给,GĚI,"a, para",PRE,,,12
挂号,GUÀHÀO,registrarse (en un hospital),VER,,,12
有点儿,YǑUDIǍNR,un poco,ADV,,,12
发炎,FĀYÁN,inflamarse,VMO,,,12
发烧,FĀSHĀO,tener fiebre,VMO,,,12
烧,SHĀO,quemar,VER,,,12
感冒,GǍNMÀO,tener resfriado,VER,resfrío,NOM,12
住院,ZHÙYUÀN,estar (internado) en el hospital,VMO,,,12
水,SHUǏ,agua,NOM,,,12
药,YÀO,medicina,NOM,,,12
愿意,YUÀNYÌ,estar dispuesto a hacer algo,VAUX,,,12
中药,ZHŌNGYÀO,medicina tradicional china,NOM,,,12
西药,XĪYÀO,medicina occidental,NOM,,,12
西,XĪ,"oeste, occidental",NOM,,,12
