HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,HUÌ,saber hacer algo (habilidad aprendida),VAUX,,,11
,YĪDIǍNR,un poco,CLA,,,11
,SĪJĪ,"conductor, chofer",NOM,,,11
,DIǍNZHŌNG,en punto,CLA,reloj,NOM,11
,CHÀ,"estar corto de, carecer de",VER,,,11
,KÈ,un cuarto (de hora),CLA,trimestre,NOM,11
,HUÍ,volver,VER,,,11
,SHÀNGKÈ,ir a clase,VMO,,,11
,JIĀO,enseñar,VER,,,11
,NÉNG,poder hacer algo (habilidad física o posiblidad de hacerlo),VAUX,,,11
,DÀO,"llegar, alcanzar",VER,,,11
,NǍLI,no (expresión de negación que denota modestia),FH,,,11
,YĪNGYǓ,inglés (idioma),NOM,,,11
,SŪNNÜR,nieta por parte de hijo,NOM,,,11
,NǙ'ÉR,hija,NOM,,,11
,SUÌSHU,años (edad),NOM,,,11
,SHÙ,número,NOM,,,11
,HÁI,además / todavía,ADV,,,11
,FĒN,minuto,CLA,,,11
,BÁIBÁI,adiós,FH,,,11
,WÈISHÉNME,"¿por qué?, ¿para qué?",PI,,,11
,WÈI,para,PRE,,,11
,ZUÓTIĀN,ayer,NOM,,,11
,DŌNGXI,"cosas, objetos",NOM,,,11
,WÁNR,"pasarlo bien, jugar",VER,,,11
,WǍNSHANG,"tarde, noche",NOM,,,11
,BÀN,"mitad, media",CLA,,,11
,XIĚ,escribir,VER,,,11
,HÀNZÌ,carácter chino,NOM,,,11
,ZÌ,"carácter, palabra",NOM,,,11
,SHUÌJIÀO,"dormir, ir a la cama",VMO,,,11
,SHUÌ,dormir,VER,sueño,NOM,11
,QǏCHUÁNG,levantarse,VMO,,,11
,QǏ,"levantarse, ponerse en pie, elevar",VER,,,11
,CHUÁNG,cama,NOM,,,11
,YĪNGGĀI,debería,VAUX,,,11
,GĀI,debería,VAUX,,,11
,WÈNTÍ,"pregunta, problema",NOM,,,11
,KĚYǏ,puede que,VAUX,,,11
