HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
,XĪBĀNYÁYǓ,español,NOM,,,11sup,1
,FǍYǓ,francés,NOM,,,11sup,2
,DÉYǓ,alemán,NOM,,,11sup,3
,RÌYǓ,japonés,NOM,,,11sup,4
,XIÀKÈ,salir de la clase / acabar la clase,V+O,,,11sup,5
,CHĪFÀN,"comer, tomar (una comida)",V+O,,,11sup,6
,KĀICHĒ,conducir un coche,V+O,,,11sup,7
,TIÀOWǓ,bailar,V+O,,,11sup,8
,CHÀNGGĒ,cantar (una canción),V+O,,,11sup,9
,HUÍDÁ,responder,VER,,,11sup,10
,LǏWǓ,"regalo, obsequio",NOM,,,11sup,11
,SHǑUBIǍO,reloj de pulsera,NOM,,,11sup,12
,ZHŌNGBIǍO,reloj de pared,NOM,,,11sup,13
,XĪYĀN,fumar,V+O,,,11sup,14
,NÁN,difícil,ADJ,,,11sup,15
,DǍDĪ,tomar un taxi,V+O,,,11sup,16
