HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
意见,YÌJIÀN,"idea, sugerencia",NOM,,,29,1
欢迎,HUĀNYÍNG,dar la bienvenida,VER,,,29,2
书房,SHŪFÁNG,(sala de) estudio,NOM,,,29,3
墙,QIÁNG,pared,NOM,,,29,4
挂,GUÀ,colgar,VER,,,29,5
字画,ZÌHUÀ,caligrafía y dibujo,NOM,,,29,6
字,ZÌ,carácter,NOM,,,29,7
书架,SHŪJIÀ,estantería (para libros),NOM,,,29,8
古书,GǓSHŪ,libro antiguo,NOM,,,29,9
古,GǓ,antiguo,ADJ,,,29,10
整齐,ZHĚNGQÍ,"aseado, ordenado",ADJ,,,29,11
地,DE,(usado para formar un “adjunto” adverbial),PT,,,29,12
摆,BǍI,"poner, colocar",VER,,,29,13
盆景,PÉNJǏNG,bonsái,NOM,,,29,14
盆,PÉN,jarrón,NOM,,,29,15
好看,HǍOKÀN,"agradable a la vista, guapo",ADJ,,,29,16
长,ZHǍNG,crecer,VER,,,29,17
开花,KĀIHUĀ,florecer,V+O,,,29,18
君子兰,JŪNZǏLÁN,lirio,NOM,,,29,19
叶子,YÈZI,hoja,NOM,,,29,20
养,YǍNG,"crecer, cultivar, criar",VER,,,29,21
比较,BǏJIÀO,comparativamente,ADV,comparar,VER,29,22
人们,RÉNMEN,"gente, personas",NOM,,,29,23
作品,ZUÒPǏN,trabajo artístico o literario,NOM,,,29,24
浇,JIĀO,regar,VER,,,29,25
修整,XIŪZHĚNG,podar,VER,,,29,26
艺术,YÌSHÙ,arte,NOM,,,29,27
园艺师,YUÁNYÌSHĪ,horticultor,NOM,,,29,28
园艺,YUÁNYÌ,horticultura,NOM,,,29,29
师,SHĪ,"persona especializada en una cierta profesión, experto",SUF,,,29,30
练,LIÀN,practicar,VER,,,29,31
书法家,SHŪFǍJIĀ,calígrafo,NOM,,,29,32
家,JIĀ,especialista en cierto campo,SUF,,,29,33
弟子不必不如师,DÌZǏBÚBÌBÙRÚSHĪ,“los discípulos no son necesariamente inferiores a sus maestros”,FH,,,29,34
弟子,DÌZǏ,discípulo,NOM,,,29,35
不必,BÚBÌ,no necesariamente,ADV,,,29,36
师不必贤于弟子,SHĪBÚBÌXIÁNYÚDÌZǏ,“los maestros no son necesariamente más capaces que sus discípulos”,FH,,,29,37
贤,XIÁN,habilidoso,ADJ,,,29,38
句子,JÙZI,oración,NOM,,,29,39
句,JÙ,oración,CLA,,,29,40
意思,YÌSI,"significado, idea",NOM,,,29,41
不如,BÙRÚ,"no ser tan bueno como, ser inferior",VER,,,29,42
高明,GĀOMÍNG,"brillante, sabio",ADJ,,,29,43
文学家,WÉNXUÉJIĀ,literario,NOM,,,29,44
互相,HÙXIĀNG,"mutuamente, el uno al otro",ADV,,,29,45
谦虚,QIĀNXŪ,modesto,ADJ,actuar de forma modesta,VER,29,46
唐代,TÁNGDÀI,Dinastía Tang,NP,,,29,47
