HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
入乡随俗,RÙXIĀNGSUÍSÚ,"Adonde fueres, haz lo que vieres",FH,,,27,1
入,RÙ,entrar,VER,,,27,2
乡,XIĀNG,"zona rural, pueblo natal",NOM,,,27,3
随,SUÍ,seguir,VER,,,27,4
俗,SÚ,costumbre,NOM,,,27,5
服务员,FÚWÙYUÁN,camarero,NOM,,,27,6
服务,FÚWÙ,"servir, prestar servicio",VER,,,27,7
壶,HÚ,"pava, tetera",NOM,,,27,8
点心,DIǍNXĪN,"refrigerio, pastel",NOM,,,27,9
稍,SHĀO,"un poco, en lo mínimo",ADJ,,,27,10
茶馆,CHÁGUǍN,"casa de té, salón de té",NOM,,,27,11
了解,LIǍOJIĚ,"entender, averiguar",VER,,,27,12
风俗,FĒNGSÚ,costumbre,NOM,,,27,13
热闹,RÈNAO,"animado, bullicioso",ADJ,"animar, divertir",VER,27,14
闹,NÀO,"ruidoso, bullicioso",ADJ,hacer ruido,VER,27,15
说话,SHUŌHUÀ,hablar,V+O,,,27,16
声音,SHĒNGYĪN,"sonido, voz",NOM,,,27,17
声,SHĒNG,"sonido, voz",NOM,,,27,18
更,GÈNG,"más, aun más",ADV,,,27,19
最,ZUÌ,"el más, lo más, la más",ADV,,,27,20
舞台,WǓTÁI,"escenario, escena",NOM,,,27,21
舞,WǓ,baile,VER,,,27,22
台,TÁI,"plataforma, escenario",NOM,,,27,23
搬,BĀN,"mover, trasladar",VER,,,27,24
场所,CHǍNGSUǑ,lugar,NOM,,,27,25
发现,FĀXIÀN,"encontrar, descubrir",VER,,,27,26
一边……一边,YÌBIĀN……YÌBIĀN,"al mismo tiempo, simultáneamente",ADV,,,27,27
聊天,LIÁOTIĀN,charlar,V+O,,,27,28
安静,ĀNJÌNG,"tranquilo, silencioso",ADJ,,,27,29
静,JÌNG,"tranquilo, silencioso",ADJ,,,27,30
比如,BǏRÚ,dar un ejemplo,VER,,,27,31
咖啡馆,KĀFĒIGUǍN,"café (lugar), cafetería",NOM,,,27,32
看法,KÀNFA,punto de vista,NOM,,,27,33
正常,ZHÈNGCHÁNG,"normal, regular",ADJ,,,27,34
筷子,KUÀIZI,palillos (chinos),NOM,,,27,35
刀叉,DĀOCHĀ,cuchillo y tenedor,NOM,,,27,36
刀子,DĀOZI,cuchillo,NOM,,,27,37
叉子,CHĀZI,tenedor,NOM,,,27,38
食物,SHÍWÙ,"comida, alimentos",NOM,,,27,39
食,SHÍ,comer,VER,,,27,40
物,WÙ,cosa,NOM,,,27,41
块,KUÀI,"trozo, pedazo",CLA,,,27,42
盘子,PÁNZI,plato,NOM,,,27,43
盘,PÁN,plato,CLA,,,27,44
切,QIĒ,"cortar, trinchar",VER,,,27,45
嘴,ZUǏ,boca,NOM,,,27,46
手指,SHǑUZHǏ,dedo,NOM,,,27,47
手,SHǑU,mano,NOM,,,27,48
舔,TIǍN,lamer,VER,,,27,49
干净,GĀNJÌNG,limpio,ADJ,,,27,50
这样,ZHÈYÀNG,así,PRO,,,27,51
西餐,XĪCĀN,comida occidental,NOM,,,27,52
