HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
礼轻情意重,LǏQĪNGQÍNGYÌ,“el regalo es insignificante pero el sentimiento es profundo”,FH,,,28,1
轻,QĪNG,"ligero, sin importancia",ADJ,,,28,2
情意,QÍNGYÌ,afecto,NOM,,,28,3
节日,JIÉRÌ,festival,NOM,,,28,4
准备,ZHǓNBÈI,preparar,VER,,,28,5
月饼,YUÈBING,pastel de la luna / dulce de la luna,NOM,,,28,6
饼,BǏNG,pastel,NOM,,,28,7
水果,SHUǏGUǑ,fruta,NOM,,,28,8
干果,GĀNGUǑ,fruto seco,NOM,,,28,9
啤酒,PÍJIǓ,cerveza,NOM,,,28,10
赏,SHǍNG,"admirar, disfrutar",VER,,,28,11
纪念品,JÌNNIÀNPǏN,"souvenir, recuerdo",NOM,,,28,12
纪念,JÌNNIÀN,conmemorar,VER,,,28,13
品,PǏN,"artículo, producto",SUF,,,28,14
希望,XĪWÀNG,esperar,VER,esperanza,NOM,28,15
毛笔,MÁOBǏ,pincel para escribir,NOM,,,28,16
毛,MÁO,"pelo, pluma",NOM,,,28,17
文房四宝,WÉNFÁNGSÌBǍO,los cuatro tesoros del estudio,FH,,,28,18
宝,BǍO,tesoro,NOM,,,28,19
……之一,……ZHĪYĪ,uno de,OTR,,,28,20
名牌,MÍNGPÁI,marca famosa,NOM,,,28,21
牌子,PÁIZI,marca,NOM,,,28,22
书法,SHŪFǍ,caligrafía,NOM,,,28,23
围巾,WÉIJĪN,bufanda,NOM,,,28,24
围,WÉI,"encerrar, cercar",VER,,,28,25
巾,JĪN,"prenda de tela (toalla, bufanda, pañuelo, etc.)",NOM,,,28,26
戴,DÀI,"ponerse, llevar puesto",VER,,,28,27
那么,NÀME,"así de, tal, tan",PRO,,,28,28
收,SHŌU,"recibir, aceptar",VER,,,28,29
小意思,XIǍOYÌSI,pequeño regalo,FH,,,28,30
干杯,GĀNBĒI,brindar por / ¡salud!,V+O,,,28,31
干,GĀN,seco,ADJ,,,28,32
杯子,BĒIZI,"copa, vaso",NOM,,,28,33
月亮,YUÈLIANG,luna,NOM,,,28,34
中秋节,ZHŌNGQIŪJIÉ,festival de otoño,NOM,,,28,35
春节,CHŪNJIÉ,"festival de primavera, año nuevo chino",NOM,,,28,36
不过,BÚGUÒ,"sin embargo, pero",CON,,,28,37
称赞,CHĒNGZÀN,"elogiar, alabar",VER,,,28,38
表示,BIǍOSHÌ,"mostrar, expresar",VER,expresión,NOM,28,39
感谢,GǍNXIÈ,agradecer,VER,agradecimiento,NOM,28,40
尊重,ZŪNZHÒNG,"respetar, considerar, valorar",VER,,,28,41
得到,DÉDÀO,"obtener, lograr, conseguir",V+O,,,28,42
惊喜,JĪNGXǏ,alegremente sorprendido,NOM,,,28,43
惊,JĪNG,"sorprender, sorprenderse",VER,sorpresa,NOM,28,44
喜,XǏ,"feliz, encantado, alegre",ADJ,,,28,45
别人,BIÉREN,otra gente,PRO,,,28,46
一般,YÌBĀN,"general, corriente, ordinario, común",ADJ,,,28,47
重要,ZHÒNGYÀO,importante,ADJ,,,28,48
友谊,YǑUYÌ,amistad,NOM,,,28,49
担心,DĀNXĪN,preocuparse,VER,,,28,50
糖,TÁNG,"dulce, caramelo, golosina",NOM,,,28,51
特色,TÈSÈ,característica,NOM,,,28,52
