HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
舅妈,JIÙMĀ,tía política (esposa del hermano de la madre),NOM,,,24,1
舅舅,JIÙJIU,tío (hermano de la madre),NOM,,,24,2
农民,NÓNGMÍN,"campesino, agricultor",NOM,,,24,3
当,DĀNG,"servir como, trabajar como, dedicarse a",VER,,,24,4
蔬菜,SHŪCÀI,verdura,NOM,,,24,5
菜,CÀI,"comida, plato, verdura",NOM,,,24,6
水果,SHUǏGUǑ,fruta,NOM,,,24,7
正在,ZHÈNGZÀI,en proceso de,ADV,,,24,8
在,ZÀI,(indica acción en progreso),ADV,,,24,9
问路,WÈNLÙ,pedir direcciones,VER,,,24,10
变化,BIÀNHUÀ,cambio,NOM,,,24,11
不但,BÚDÀN,no solo,CON,,,24,12
而且,ÉRQIĚ,"sino que también, y también",CON,,,24,13
可不,KĚBU,"exactamente, cierto, así es",FH,,,24,14
小孩儿,XIǍOHÁIR,niño,NOM,,,24,15
地图,DÌTÚ,mapa,NOM,,,24,16
向,XIÀNG,"hacia, a",PRE,,,24,17
像,XIÀNG,parecer,VER,,,24,18
上,SHÀNG,asistir (a clase o trabajo),VER,,,24,19
年级,NIÁNJÍ,"año, grado",NOM,,,24,20
辛苦,XĪNKǓ,"agotador, difícil, arduo",ADJ,,,24,21
种,ZHÒNG,"plantar, cultivar",VER,,,24,22
温室,WĒNSHÌ,invernadero,NOM,,,24,23
温,WĒN,"cálido, tibio",ADJ,,,24,24
常温,CHÁNGWĒN,temperatura ambiente,NOM,,,24,25
收入,SHŌURÙ,"sueldo, salario, ingresos",NOM,,,24,26
收,SHŌU,"aceptar, recibir",VER,,,24,27
入,RÙ,"entrar, ingresar",VER,,,24,28
前年,QIÁNNIÁN,año anterior al año pasado,NOM,,,24,29
盖,GÀI,construir,VER,,,24,30
座,ZUÒ,"clas. para montañas, edificios u otros objetos inmóviles",CLA,,,24,31
辆,LIÀNG,clas. para vehículos terrestres,CLA,,,24,32
城市,CHÉNGSHÌ,ciudad,NOM,,,24,33
城,CHÉNG,"muralla, ciudad",NOM,,,24,34
方便,FĀNGBIÀN,"conveniente, apropiado, útil",ADJ,,,24,35
村,CŪN,pueblo,NOM,,,24,36
文化,WÉNHUÀ,cultura,NOM,,,24,37
技术,JÌSHÙ,"tecnología, técnica, habilidad",NOM,,,24,38
管理,GUǍNLǏ,"supervisar, administrar, dirigir",VER,,,24,39
