HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
爬,PÁ,"escalar, arrastrarse",VER,,,23,1
放假,FÀNGJIÀ,tener vacaciones,V+O,,,23,2
假,JIÀ,vacaciones,NOM,,,23,3
请假,QǏNGJIÀ,pedir días libres / vacaciones,V+O,,,23,4
高,GĀO,alto,ADJ,,,23,5
低,DĪ,bajo,ADJ,,,23,6
打算,DǍSUAN,plan,NOM,planificar,VER,23,7
提,TÍ,llevar en la mano,VER,,,23,8
抗,KÁNG,cargar en la espalda,VER,,,23,9
背,BĒI,llevar en la espalda,VER,,,23,10
飞机,FĒIJĪ,avión,NOM,,,23,11
飞,FĒI,volar,VER,,,23,12
机器,JĪQÌ,"máquina, aparato",NOM,,,23,13
山,SHĀN,montaña,NOM,,,23,14
顶,DǏNG,cima,NOM,,,23,15
教书,JIĀOSHŪ,enseñar / dar clase,V+O,,,23,16
教学,JIĀOXUÉ,enseñar / dar clase,V+O,,,23,17
上课,SHÀNGKÈ,asistir a clase / dar clase,V+O,,,23,18
气温,QÌWĒN,temperatura (ambiental),NOM,,,23,19
建议,JIÀNYÌ,"propuesta, sugerencia",NOM,"proponer, sugerir",VER,23,20
景色,JǏNGSÈ,"paisaje, vista, panorama",NOM,,,23,21
景,JǏNG,"paisaje, vista",NOM,,,23,22
色,SÈ,"paisaje, vista",NOM,,,23,23
全景,QUÁNJǏNG,vista panorámica,NOM,,,23,24
远景,YUǍNJǏNG,vista lejana / long shot,NOM,,,23,25
近景,JÌNJǏNG,vista cercana / close shot,NOM,,,23,26
春天,CHŪNTIĀN,primavera,NOM,,,23,27
夏天,XIÀTIĀN,verano,NOM,,,23,28
秋天,QIŪTIĀN,otoño,NOM,,,23,29
冬天,DŌNGTIĀN,invierno,NOM,,,23,30
游泳,YÓUYǑNG,nadar,V+O,,,23,31
导游,DǍOYÓU,guía turístico,NOM,,,23,32
导,DǍO,guiar,VER,,,23,33
游,YÓU,"viajar, recorrer",VER,,,23,34
行,XÍNG,“ok” / “dale”,FH,,,23,35
长城,CHÁNGCHÉNG,Gran muralla china,NP,,,23,36
泰山,TÀISHĀN,Monte Taishan,NP,,,23,37
海南岛,HǍINÁN DǍO,Isla Hainan,NP,,,23,38
岛,DǍO,isla,NOM,,,23,39
孔子,KǑNGZǏ,Confucio,NP,,,23,40
小燕子,XIǍOYÀNZI,“Pequeña golondrina” (canción de cuna),NP,,,23,41
加油,JIĀYÓU,animar,V+O,,,23,42
加,JIĀ,"añadir, aumentar",VER,,,23,43
累,LÈI,cansado,ADJ,,,23,44
条,TIÁO,clas. para cosas largas,CLA,,,23,45
龙,LÓNG,dragón,NOM,,,23,46
拍,PĀI,"dar una palmada, tomar",VER,,,23,47
零下,LÍNGXIÀ,bajo cero,NOM,,,23,48
阴天,YĪNTIĀN,cielo nublado,NOM,,,23,49
晴天,QÍNGTIĀN,cielo soleado,NOM,,,23,50
下雪,XIÀXUĚ,nevar,V+O,,,23,51
下雨,XIÀYǓ,llover,V+O,,,23,52
度,DÙ,grados,CLA,,,23,53
帮忙,BĀNGMÁNG,ayudar,V+O,,,23,54
帮,BĀNG,"ayudar, auxiliar",VER,,,23,55
站,ZHÀN,estar de pie,VER,,,23,56
起,QǏ,levantar(se),VER,,,23,57
广州,GUǍNGZHŌU,Guangzhou (ciudad),NP,,,23,58
