HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
研究,YÁNJIŪ,"estudiar, investigar",VER,,,22sup,1
顿,DÙN,clasificador para comidas,CLA,,,22sup,2
便饭,BIÀNFÀN,comida fácil / ordinaria,NOM,,,22sup,3
太太,TÀITAI,"esposa, señora",NOM,,,22sup,4
不怎么样,BÙ ZĚNMEYÀNG,no tan bien,FH,,,22sup,5
悲伤,BĒISHĀNG,"triste, apenado",ADJ,,,22sup,6
聪明,CŌNGMING,"inteligente, brillante",ADJ,,,22sup,7
诗,SHĪ,"poema, poesía",NOM,,,22sup,8
相爱,XIĀNGÀI,enamorarse,VER,,,22sup,9
骗,PIÀN,"estafar, engañar",VER,,,22sup,10
结婚,JIÉHŪN,casarse,V+O,,,22sup,11
骗,LÍHŪN,divorciarse,V+O,,,22sup,12
哭,KŪ,llorar,VER,,,22sup,13
笑,XIÀO,"reír, sonreír",VER,,,22sup,14
死,SǏ,"morir, estar muerto",VER,,,22sup,15
回忆,HUÍYÌ,"recordar, rememorar",VER,,,22sup,16
